FireCode,location,block,pasture,patch,year,plot,array,AirTemp,dpC,FuelMoisture,LAI,MaxC,RH,WindSpeed,VPD,ros,SoilMaxC,tHa
CG.BAR.NE.NE.18,CG,BAR,NE,NE,18,1,2,25.51,8.32,37.019999999999996,0.4033333333333333,258.1666666666667,33.52,19.67,21.694578176557826,17.320508075704524,94.25,1.6309333333333333
CG.BAR.NE.NE.18,CG,BAR,NE,NE,18,1,3,25.51,8.32,49.166666666666664,0.5233333333333333,288,33.52,19.67,21.694578176557826,1.9941002821317064,565.75,1.822933333333333
CG.BAR.NE.NE.18,CG,BAR,NE,NE,18,2,1,25.09,8.53,59,0.2833333333333333,53.583333333333336,34.82,19.38,20.732020833571475,0.6375287226441482,43.5,1.3829333333333333
CG.BAR.NE.NE.18,CG,BAR,NE,NE,18,2,2,25.51,8.32,43.803333333333335,0.26,104.08333333333333,33.52,19.67,21.694578176557826,0.8072804131525755,116.75,1.582933333333333
CG.BAR.NE.NE.18,CG,BAR,NE,NE,18,2,3,25.51,8.32,76.85000000000001,0.14,60.083333333333336,33.52,19.67,21.694578176557826,0.48625921607829836,36,1.0042666666666666
CG.BAR.NE.NE.18,CG,BAR,NE,NE,18,3,2,25.92,8.11,20.83,0.8633333333333333,411.5,32.21,19.96,22.653054034157243,2.141037306314502,198.5,2.9936
CG.BAR.NE.NE.18,CG,BAR,NE,NE,18,3,3,25.92,8.11,86.41,0.6366666666666667,188.41666666666666,32.21,19.96,22.653054034157243,3.927922024247991,49,2.1376000000000004
CG.BAR.NE.SWW.19,CG,BAR,NE,SWW,19,1,1,10.69,-1.28,31.11,NA,92,43.59,15.85,7.299210414358771,0.545695125263576,NA,0.92
CG.BAR.NE.SWW.19,CG,BAR,NE,SWW,19,1,3,10.69,-1.28,23.463333333333335,NA,185.5,43.59,15.85,7.299210414358771,2.9801978033950474,NA,1.0314666666666668
CG.BAR.NW.NE.19,CG,BAR,NW,NE,19,1,2,11.129999999999999,-1.1933333333333334,32.72333333333333,NA,73.91666666666667,42.70333333333333,14.77,7.645670122240534,0.013632377312153554,NA,2.812266666666667
CG.BAR.NW.NE.19,CG,BAR,NW,NE,19,2,1,11,-1.16,20.4,NA,135.5,43.08,14.88,7.518037082279671,0.44806073327219587,NA,1.0656
