FireCode,location,block,pasture,patch,year,JD,plot,array,AirTemp,dpC,FuelMoisture,LAI,MaxC,MaxWindSpeed,WindSpeed,RH,VPD,ros,SoilMaxC,tHa
CG.BAR.NE.NE.18,CG,BAR,NE,NE,18,135,1,2,25.51,8.32,37.02,0.403333333,258.1666667,30.34,19.67,33.52,21.69457818,17.32050808,94.25,1.630933333
CG.BAR.NE.NE.18,CG,BAR,NE,NE,18,135,1,3,25.51,8.32,49.16666667,0.523333333,288,30.34,19.67,33.52,21.69457818,1.994100282,565.75,1.822933333
CG.BAR.NE.NE.18,CG,BAR,NE,NE,18,135,2,1,25.09,8.53,59,0.283333333,53.58333333,30.28,19.38,34.82,20.73202083,0.637528723,43.5,1.382933333
CG.BAR.NE.NE.18,CG,BAR,NE,NE,18,135,2,2,25.51,8.32,43.80333333,0.26,104.0833333,30.34,19.67,33.52,21.69457818,0.807280413,116.75,1.582933333
CG.BAR.NE.NE.18,CG,BAR,NE,NE,18,135,2,3,25.51,8.32,76.85,0.14,60.08333333,30.34,19.67,33.52,21.69457818,0.486259216,36,1.004266667
CG.BAR.NE.NE.18,CG,BAR,NE,NE,18,135,3,2,25.92,8.11,20.83,0.863333333,411.5,30.39,19.96,32.21,22.65305403,2.141037306,198.5,2.9936
CG.BAR.NE.NE.18,CG,BAR,NE,NE,18,135,3,3,25.92,8.11,86.41,0.636666667,188.4166667,30.39,19.96,32.21,22.65305403,3.927922024,49,2.1376
CG.BAR.NE.SWW.19,CG,BAR,NE,SWW,19,127,1,1,10.69,-1.28,31.11,NA,92,25.94,15.85,43.59,7.299210414,0.545695125,NA,0.92
CG.BAR.NE.SWW.19,CG,BAR,NE,SWW,19,127,1,3,10.69,-1.28,23.46333333,NA,185.5,25.94,15.85,43.59,7.299210414,2.980197803,NA,1.031466667
CG.BAR.NW.NE.19,CG,BAR,NW,NE,19,127,1,2,11.13,-1.193333333,32.72333333,NA,73.91666667,27.93,14.77,42.70333333,7.645670122,0.013632377,NA,2.812266667
CG.BAR.NW.NE.19,CG,BAR,NW,NE,19,127,2,1,11,-1.16,20.4,NA,135.5,27.39,14.88,43.08,7.518037082,0.448060733,NA,1.0656
CG.BAR.NW.NE.19,CG,BAR,NW,NE,19,127,2,2,11,-1.16,49.79333333,NA,45.66666667,27.39,14.88,43.08,7.518037082,0.227218398,NA,0.541333333
CG.BAR.NW.NE.19,CG,BAR,NW,NE,19,127,2,3,11,-1.16,28.09666667,NA,164.9166667,27.39,14.88,43.08,7.518037082,0.257225813,NA,0.834666667
CG.BAR.NW.NE.19,CG,BAR,NW,NE,19,127,3,1,10.59,-0.76,13.77333333,NA,203.5,27.75,15.18,45.65,6.99727372,0.690735911,NA,1.257066667
CG.BAR.NW.NE.19,CG,BAR,NW,NE,19,127,3,2,10.59,-0.76,13.81333333,NA,220.75,27.75,15.18,45.65,6.99727372,0.684237554,NA,1.5152
CG.BAR.NW.NW.18,CG,BAR,NW,NW,18,135,1,1,24.87,6.16,104.8833333,0.253333333,44.91666667,32.97,18.34,30.04,21.98364126,1.13147143,43.75,0.588266667
CG.BAR.NW.NW.18,CG,BAR,NW,NW,18,135,1,3,25.24,6.35,82.66666667,0.433333333,64.75,31.58,16.75,29.75,22.55899622,0.912730087,258,0.9136
CG.BAR.NW.NW.18,CG,BAR,NW,NW,18,135,2,2,24.87,6.16,58.23,1.17,234,32.97,18.34,30.04,21.98364126,3.228732015,39.15,1.878933333
CG.BAR.NW.NW.18,CG,BAR,NW,NW,18,135,2,3,24.87,6.16,77.85666667,1.216666667,296.1666667,32.97,18.34,30.04,21.98364126,2.430657582,194.75,2.3296
CG.BAR.NW.NW.18,CG,BAR,NW,NW,18,135,3,1,24.87,6.16,62.12,0.966666667,197.4166667,32.97,18.34,30.04,21.98364126,0.463443685,107.25,1.926933333
CG.BAR.NW.NW.18,CG,BAR,NW,NW,18,135,3,2,24.87,6.16,40.94666667,1.113333333,198.0833333,32.97,18.34,30.04,21.98364126,8.320502943,80,3.1056
CG.BAR.NW.NW.18,CG,BAR,NW,NW,18,135,3,3,24.87,6.16,70.57666667,0.493333333,207.4166667,32.97,18.34,30.04,21.98364126,0.429434085,132.5,1.780266667
CG.BAR.SE.SEE.18,CG,BAR,SE,SEE,18,136,1,1,28.33,7.78,26.94333333,1.123333333,227.4166667,24.02,8.48,27.29,27.97054427,2.454951265,49.9,3.7056
CG.BAR.SE.SEE.18,CG,BAR,SE,SEE,18,136,1,2,28.33,7.78,28.65333333,0.55,139.9166667,24.02,8.48,27.29,27.97054427,0.6060503,245.25,2.3616
CG.BAR.SE.SEE.18,CG,BAR,SE,SEE,18,136,1,3,28.33,7.78,33.74,0.92,251,24.02,8.48,27.29,27.97054427,2.326117289,262,2.5696
CG.BAR.SE.SEE.18,CG,BAR,SE,SEE,18,136,2,3,28.33,7.78,54.41,1.336666667,216.0833333,24.02,8.48,27.29,27.97054427,1.417366774,142.25,5.092266667
CG.BAR.SE.SEE.18,CG,BAR,SE,SEE,18,136,3,1,28.09,8.04,65.23333333,2.14,279,24.62,8.67,28.19,27.247562,1.959766003,356.25,4.342933333
CG.BAR.SE.SEE.18,CG,BAR,SE,SEE,18,136,3,2,28.09,8.04,35.08,2.176666667,300.3333333,24.62,8.67,28.19,27.247562,0.692574118,184.5,4.3136
CG.BAR.SE.SEE.18,CG,BAR,SE,SEE,18,136,3,3,28.09,8.04,44.41666667,2.61,347.75,24.62,8.67,28.19,27.247562,0.721687836,61.75,6.332266667
CG.BAR.SE.SWE.19,CG,BAR,SE,SWE,19,133,1,1,22.14,7.36,26.07666667,1.44,336.75,33.27,19.66,38.5,16.40097746,1.133893419,NA,2.344533333
CG.BAR.SE.SWE.19,CG,BAR,SE,SWE,19,133,1,2,22.14,7.36,26.38,1.546666667,292.5,33.27,19.66,38.5,16.40097746,3.306232613,NA,2.5296
CG.BAR.SE.SWE.19,CG,BAR,SE,SWE,19,133,1,3,22.14,7.36,21.41,1.54,281.5,33.27,19.66,38.5,16.40097746,1.538292986,24.25,1.9376
CG.BAR.SE.SWE.19,CG,BAR,SE,SWE,19,133,2,1,21.93333333,7.51,19.37666667,0.133333333,120,34.18666667,20.46333333,39.40333333,15.96123264,0.137481189,NA,1.4352
CG.BAR.SE.SWE.19,CG,BAR,SE,SWE,19,133,2,2,22.05,7.43,35.64,0.56,190.25,33.69,20.01,38.9,16.2058392,0.817911479,NA,2.456
CG.BAR.SE.SWE.19,CG,BAR,SE,SWE,19,133,2,3,22.05,7.43,33.04333333,0.743333333,390.5,33.69,20.01,38.9,16.2058392,11.92079121,39.75,2.8928
CG.BAR.SE.SWE.19,CG,BAR,SE,SWE,19,133,3,1,22.05,7.43,33.36,0.2,165.8333333,33.69,20.01,38.9,16.2058392,0.319722365,NA,3.242133333
CG.BAR.SE.SWE.19,CG,BAR,SE,SWE,19,133,3,2,22.05,7.43,35.71,0.393333333,181.75,33.69,20.01,38.9,16.2058392,0.560348105,NA,2.5616
