location,block,pasture,Livestock,patch,Hectares,LastBurn,Status_2017,Status_2018,date,FireNum,Patch-Num,plot,array,DL,TC,MaxC,LAI,SVMC,FM,FM_cor,FMC,KgHa,AirTemp,RH,WindSpeed,MaxWindSpeed,WindDir,Burn,MaxTempTime,ROS_1m/s,ROS_1m_mph,SH_Singe,SH_Char,SH_Black,SH_Broken
HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,2,2,1,1,9,1,227.75,0.31,18.5,1.30,129.55,129.55,465.60,17.93,39.24,9.85,19.94,217.15,1,14:39:03.1,0.0762,0.17,25.33,26.00,,
HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,2,2,1,1,9,2,170.75,0.42,11.7,0.99,98.90,98.90,1016.00,17.93,39.24,9.85,19.94,217.15,1,14:38:55.0,,,25.33,26.00,,
HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,2,2,1,1,9,3,243.00,0.42,23.9,1.21,121.07,121.07,630.40,17.93,39.24,9.85,19.94,217.15,1,14:39:08.0,,,25.33,26.00,,
HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,2,2,1,1,9,4,225.50,,,,,,,17.93,39.24,9.85,19.94,217.15,1,14:39:11.1,,,,,,
HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,2,2,1,1,9,5,181.50,,,,,,,17.93,39.24,9.85,19.94,217.15,1,14:39:07.0,,,,,,
HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,2,2,1,2,4,1,66.25,0.87,15.5,0.59,59.34,59.34,2432.00,17.93,39.24,9.85,19.94,217.15,1,14:43:20.0,0.0180,0.04,36.67,32.00,29.00,
HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,2,2,1,2,4,2,126.75,1.01,16.6,0.76,75.66,75.66,1630.40,17.93,39.24,9.85,19.94,217.15,1,14:42:30.1,,,36.67,32.00,29.00,
HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,2,2,1,2,4,3,110.50,0.86,18.2,0.59,59.18,59.18,1403.20,17.93,39.24,9.85,19.94,217.15,1,14:42:34.1,,,36.67,32.00,29.00,
HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,2,2,1,2,4,4,239.25,,,,,,,17.93,39.24,9.85,19.94,217.15,1,14:42:52.0,,,,,,
HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,2,2,1,2,4,5,29.28,,,,,,,17.19,41.67,10.20,19.46,196.40,1,13:37:12.1,,,,,,
HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,2,2,1,3,2,1,26.00,0.89,17.7,0.75,75.23,75.23,1369.60,16.94,42.50,10.08,19.34,191.50,0,13:01:56.0,0.0004,0.00,35.33,31.00,31.50,20.50
HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,2,2,1,3,2,2,26.75,0.77,14.9,0.62,62.02,62.02,2595.20,17.19,41.67,10.20,19.46,196.40,0,13:38:36.0,,,35.33,31.00,31.50,20.50
HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,2,2,1,3,2,3,25.50,0.64,19.9,0.72,71.76,71.76,1467.20,16.94,42.50,10.08,19.34,191.50,0,13:03:58.1,,,35.33,31.00,31.50,20.50
HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,2,2,1,3,2,4,35.25,,,,,,,16.94,42.50,10.08,19.34,191.50,0,13:02:21.1,,,,,,
HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,2,2,1,3,2,5,27.99,,,,,,,17.19,41.67,10.20,19.46,196.40,0,13:38:05.0,,,,,,
HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,2,2,2,1,8,1,26.00,0.64,16.7,0.66,65.71,65.71,1166.40,16.94,42.50,10.08,19.34,191.50,,13:01:56.0,0.0004,0.00,43.00,53.00,50.00,30.00
HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,2,2,2,1,8,2,26.75,0.64,15.2,1.19,119.50,119.50,508.80,17.19,41.67,10.20,19.46,196.40,,13:38:36.0,,,43.00,53.00,50.00,30.00
HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,2,2,2,1,8,3,25.50,0.53,17.7,1.22,121.64,121.64,488.00,16.94,42.50,10.08,19.34,191.50,,13:03:58.1,,,43.00,53.00,50.00,30.00
HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,2,2,2,1,8,4,35.25,,,,,,,16.94,42.50,10.08,19.34,191.50,,13:02:21.1,,,,,,
HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,2,2,2,1,8,5,27.99,,,,,,,17.19,41.67,10.20,19.46,196.40,,13:38:05.0,,,,,,
HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,1,2,2,2,6,1,,0.81,16.7,0.99,98.58,98.58,1241.60,,,,,,,,,,29.00,29.00,,
HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,1,2,2,2,6,2,,0.65,15.9,1.01,100.60,100.60,1059.20,,,,,,,,,,29.00,29.00,,
HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,1,2,2,2,6,3,,0.71,17.8,0.75,75.25,75.25,1286.40,,,,,,,,,,29.00,29.00,,
HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,1,2,2,2,6,4,,,,,,,,,,,,,,,,,,,,
HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,1,2,2,2,6,5,,,,,,,,,,,,,,,,,,,,
HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,1,2,2,3,7,1,242.00,1.01,17.4,0.50,49.68,49.68,1481.60,18.42,37.65,9.38,20.30,233.00,1,14:51:07.0,0.0342,0.08,48.33,43.67,34.00,22.00
HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,1,2,2,3,7,2,291.25,1.03,16.7,0.63,62.60,62.60,1168.00,18.42,37.65,9.38,20.30,233.00,1,14:50:38.0,,,48.33,43.67,34.00,22.00
HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,1,2,2,3,7,3,355.75,0.84,15.6,0.71,70.96,70.96,1267.20,18.42,37.65,9.38,20.30,233.00,1,14:50:49.0,,,48.33,43.67,34.00,22.00
HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,1,2,2,3,7,4,53.75,,,,,,,18.42,37.65,9.38,20.30,233.00,1,14:51:29.0,,,,,,
HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,1,2,2,3,7,5,309.50,,,,,,,18.42,37.65,9.38,20.30,233.00,1,14:50:41.1,,,,,,
HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,1,2,3,1,5,1,39.25,0.45,22.1,1.05,105.45,105.45,675.20,17.93,39.24,9.85,19.94,217.15,1,14:37:29.1,0.0016,0.00,34.00,,,
HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,1,2,3,1,5,2,42.50,0.32,25.5,1.10,109.80,109.80,571.20,17.93,39.24,9.85,19.94,217.15,1,14:37:30.0,,,35.00,,,
HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,1,2,3,1,5,3,234.25,0.43,25.7,0.58,58.14,58.14,1651.20,18.42,37.65,9.38,20.30,233.00,1,14:46:22.1,,,36.00,,,
HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,1,2,3,1,5,4,237.00,,,,,,,18.42,37.65,9.38,20.30,233.00,1,14:46:20.1,,,,,,
HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,1,2,3,1,5,5,78.50,,,,,,,18.42,37.65,9.38,20.30,233.00,1,14:47:04.0,,,,,,
HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,1,2,3,2,3,1,203.75,0.61,21.0,0.71,70.73,70.73,2640.00,17.93,39.24,9.85,19.94,217.15,1,14:37:32.0,0.0412,0.09,43.00,39.00,31.00,23.67
HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,1,2,3,2,3,2,291.25,0.64,21.4,1.00,99.77,99.77,704.00,17.93,39.24,9.85,19.94,217.15,1,14:37:17.0,,,43.00,39.00,31.00,23.67
HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,1,2,3,2,3,3,154.25,0.72,21.1,0.86,86.36,86.36,1302.40,17.93,39.24,9.85,19.94,217.15,1,14:37:41.1,,,43.00,39.00,31.00,23.67
HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,1,2,3,2,3,4,26.38,,,,,,,17.93,39.24,9.85,19.94,217.15,1,13:43:02.0,,,,,,
HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,1,2,3,2,3,5,356.50,,,,,,,17.19,41.67,10.20,19.46,196.40,1,14:37:49.0,,,,,,
HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,1,2,3,3,1,1,,0.33,22.3,1.15,114.68,114.68,523.20,,,,,,,,,,26.00,23.00,,
HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,1,2,3,3,1,2,,0.46,20.3,1.09,109.09,109.09,686.40,,,,,,,,,,26.00,23.00,,
