MZFireID,location,block,pasture,Livestock,patch,Hectares,LastBurn,Status_2017,Status_2018,date,FireNum,Patch-Num,plot,array,DL,TC,MaxC,LAI,SVMC,FMC,KgHa,AirTemp,RH,WindSpeed,MaxWindSpeed,WindDir,dpC,Burn,MaxTempTime,SH_Singe,SH_Char,SH_Black,SH_Broken
17,HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,2,2,1,1,9,1,227.75,0.31,18.5,129.55,465.6,17.93,39.24,9.85,19.94,217.15,3.82,1,14:39:03.1,25.33,26,,
17,HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,2,2,1,1,9,2,170.75,0.42,11.7,98.9,1016,17.93,39.24,9.85,19.94,217.15,3.82,1,14:38:55.0,25.33,26,,
17,HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,2,2,1,1,9,3,243,0.42,23.9,121.07,630.4,17.93,39.24,9.85,19.94,217.15,3.82,1,14:39:08.0,25.33,26,,
17,HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,2,2,1,1,9,4,225.5,,,,,17.93,39.24,9.85,19.94,217.15,3.82,1,14:39:11.1,,,,
17,HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,2,2,1,1,9,5,181.5,,,,,17.93,39.24,9.85,19.94,217.15,3.82,1,14:39:07.0,,,,
17,HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,2,2,1,2,4,1,66.25,0.87,15.5,59.34,2432,17.93,39.24,9.85,19.94,217.15,3.82,1,14:43:20.0,36.67,32,29,
17,HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,2,2,1,2,4,2,126.75,1.01,16.6,75.66,1630.4,17.93,39.24,9.85,19.94,217.15,3.82,1,14:42:30.1,36.67,32,29,
17,HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,2,2,1,2,4,3,110.5,0.86,18.2,59.18,1403.2,17.93,39.24,9.85,19.94,217.15,3.82,1,14:42:34.1,36.67,32,29,
17,HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,2,2,1,2,4,4,239.25,,,,,17.93,39.24,9.85,19.94,217.15,3.82,1,14:42:52.0,,,,
17,HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,2,2,1,2,4,5,29.28,,,,,17.19,41.67,10.2,19.46,196.4,3.82,1,13:37:12.1,,,,
17,HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,2,2,1,3,2,1,26,0.89,17.7,75.23,1369.6,16.94,42.5,10.08,19.34,191.5,4.08,0,13:01:56.0,35.33,31,31.5,20.5
17,HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,2,2,1,3,2,2,26.75,0.77,14.9,62.02,2595.2,17.19,41.67,10.2,19.46,196.4,3.82,0,13:38:36.0,35.33,31,31.5,20.5
17,HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,2,2,1,3,2,3,25.5,0.64,19.9,71.76,1467.2,16.94,42.5,10.08,19.34,191.5,4.08,0,13:03:58.1,35.33,31,31.5,20.5
17,HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,2,2,1,3,2,4,35.25,,,,,16.94,42.5,10.08,19.34,191.5,4.08,0,13:02:21.1,,,,
17,HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,2,2,1,3,2,5,27.99,,,,,17.19,41.67,10.2,19.46,196.4,3.82,0,13:38:05.0,,,,
17,HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,2,2,2,1,8,1,26,0.64,16.7,65.71,1166.4,16.94,42.5,10.08,19.34,191.5,4.08,,13:01:56.0,43,53,50,30
17,HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,2,2,2,1,8,2,26.75,0.64,15.2,119.5,508.8,17.19,41.67,10.2,19.46,196.4,3.82,,13:38:36.0,43,53,50,30
17,HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,2,2,2,1,8,3,25.5,0.53,17.7,121.64,488,16.94,42.5,10.08,19.34,191.5,4.08,,13:03:58.1,43,53,50,30
17,HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,2,2,2,1,8,4,35.25,,,,,16.94,42.5,10.08,19.34,191.5,4.08,,13:02:21.1,,,,
17,HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,2,2,2,1,8,5,27.99,,,,,17.19,41.67,10.2,19.46,196.4,3.82,,13:38:05.0,,,,
17,HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,1,2,2,2,6,1,,0.81,16.7,98.58,1241.6,,,,,,,,,29,29,,
17,HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,1,2,2,2,6,2,,0.65,15.9,100.6,1059.2,,,,,,,,,29,29,,
17,HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,1,2,2,2,6,3,,0.71,17.8,75.25,1286.4,,,,,,,,,29,29,,
17,HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,1,2,2,2,6,4,,,,,,,,,,,,,,,,,
17,HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,1,2,2,2,6,5,,,,,,,,,,,,,,,,,
17,HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,1,2,2,3,7,1,242,1.01,17.4,49.68,1481.6,18.42,37.65,9.38,20.3,233,3.69,1,14:51:07.0,48.33,43.67,34,22
17,HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,1,2,2,3,7,2,291.25,1.03,16.7,62.6,1168,18.42,37.65,9.38,20.3,233,3.69,1,14:50:38.0,48.33,43.67,34,22
17,HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,1,2,2,3,7,3,355.75,0.84,15.6,70.96,1267.2,18.42,37.65,9.38,20.3,233,3.69,1,14:50:49.0,48.33,43.67,34,22
17,HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,1,2,2,3,7,4,53.75,,,,,18.42,37.65,9.38,20.3,233,3.69,1,14:51:29.0,,,,
17,HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,1,2,2,3,7,5,309.5,,,,,18.42,37.65,9.38,20.3,233,3.69,1,14:50:41.1,,,,
17,HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,1,2,3,1,5,1,39.25,0.45,22.1,105.45,675.2,17.93,39.24,9.85,19.94,217.15,3.82,1,14:37:29.1,34,,,
17,HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,1,2,3,1,5,2,42.5,0.32,25.5,109.8,571.2,17.93,39.24,9.85,19.94,217.15,3.82,1,14:37:30.0,35,,,
17,HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,1,2,3,1,5,3,234.25,0.43,25.7,58.14,1651.2,18.42,37.65,9.38,20.3,233,3.69,1,14:46:22.1,36,,,
17,HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,1,2,3,1,5,4,237,,,,,18.42,37.65,9.38,20.3,233,3.69,1,14:46:20.1,,,,
17,HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,1,2,3,1,5,5,78.5,,,,,18.42,37.65,9.38,20.3,233,3.69,1,14:47:04.0,,,,
17,HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,1,2,3,2,3,1,203.75,0.61,21,70.73,2640,17.93,39.24,9.85,19.94,217.15,3.82,1,14:37:32.0,43,39,31,23.67
17,HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,1,2,3,2,3,2,291.25,0.64,21.4,99.77,704,17.93,39.24,9.85,19.94,217.15,3.82,1,14:37:17.0,43,39,31,23.67
17,HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,1,2,3,2,3,3,154.25,0.72,21.1,86.36,1302.4,17.93,39.24,9.85,19.94,217.15,3.82,1,14:37:41.1,43,39,31,23.67
17,HREC,Clement,Clement,Cattle,SW,16,Unburned,0,1,10/18/2018,1,2,3,2,3,4,26.38,,,,,17.93,39.24,9.85,19.94,217.15,3.82,1,13:43:02.0,,,,
