Data from North Dakota Agricultural Weather Network https://ndawn.ndsu.nodak.edu,,,,,,,,,,,,,,,,,,,,,,,,,
Hourly Observation Table for October 17 2018 to October 18 2018,,,,,,,,,,,,,,,,,,,,,,,,,
Flag Definition Line: M - Missing; E - Estimated; N/A - Not Available,,,,,,,,,,,,,,,,,,,,,,,,,
Station Name,Latitude,Longitude,Elevation,Year,Month,Day,Hour,Avg Air Temp,Avg Air Temp Flag,Avg Rel Hum,Avg Rel Hum Flag,Avg Wind Speed,Avg Wind Speed Flag,Max Wind Speed,Max Wind Speed Flag,Avg Wind Dir,Avg Wind Dir Flag,Total Rainfall,Total Rainfall Flag,Avg Rel Hum at 9 m,Avg Rel Hum at 9 m Flag,Avg Wind Speed at 10 m,Avg Wind Speed at 10 m Flag,Max Wind Speed at 10 m,Max Wind Speed at 10 m Flag
,deg,deg,ft,,,,CST,Degrees C,,%,,m/s,,m/s,,deg,,mm,,%,,m/s,,m/s,
Hettinger,46.011,-102.643,2758,2018,10,17,100,6.069,,75.79,,0.969,,2.435,,17.07,,0,,,,,,,
Hettinger,46.011,-102.643,2758,2018,10,17,200,4.639,,76.94,,1.068,,2.102,,15.32,,0,,,,,,,
Hettinger,46.011,-102.643,2758,2018,10,17,300,3.255,,82.3,,0.317,,1.335,,66.17,,0,,,,,,,
Hettinger,46.011,-102.643,2758,2018,10,17,400,1.921,,84.1,,0.646,,1.301,,1.109,,0,,,,,,,
Hettinger,46.011,-102.643,2758,2018,10,17,500,0.456,,88.1,,0.497,,1.335,,335.6,,0,,,,,,,
Hettinger,46.011,-102.643,2758,2018,10,17,600,0.844,,87.5,,0.759,,1.568,,331.7,,0,,,,,,,
Hettinger,46.011,-102.643,2758,2018,10,17,700,0.743,,87.9,,0.295,,1.135,,334.2,,0,,,,,,,
Hettinger,46.011,-102.643,2758,2018,10,17,800,1.389,,85.6,,0.531,,1.768,,309.6,,0,,,,,,,
Hettinger,46.011,-102.643,2758,2018,10,17,900,4.437,,79.98,,1.486,,4.038,,268.7,,0,,,,,,,
Hettinger,46.011,-102.643,2758,2018,10,17,1000,9.52,,59.95,,2.847,,5.038,,276.5,,0,,,,,,,
Hettinger,46.011,-102.643,2758,2018,10,17,1100,12.44,,49.98,,3.134,,5.172,,273.8,,0,,,,,,,
Hettinger,46.011,-102.643,2758,2018,10,17,1200,15.83,,40.44,,2.825,,5.205,,288.1,,0,,,,,,,
Hettinger,46.011,-102.643,2758,2018,10,17,1300,18.25,,33.39,,3.869,,7.54,,284.4,,0,,,,,,,
Hettinger,46.011,-102.643,2758,2018,10,17,1400,19.5,,28.95,,4.946,,8.712,,289.4,,0,,,,,,,
Hettinger,46.011,-102.643,2758,2018,10,17,1500,19.93,,27.11,,4.585,,7.707,,284.6,,0,,,,,,,
Hettinger,46.011,-102.643,2758,2018,10,17,1600,20.02,,26.45,,4.229,,7.941,,287.7,,0,,,,,,,
Hettinger,46.011,-102.643,2758,2018,10,17,1700,19.54,,26.85,,3.216,,6.207,,285.5,,0,,,,,,,
Hettinger,46.011,-102.643,2758,2018,10,17,1800,17.41,,32.45,,0.748,,3.57,,280,,0,,,,,,,
Hettinger,46.011,-102.643,2758,2018,10,17,1900,12.97,,42.19,,0.374,,0.867,,118.5,,0,,,,,,,
Hettinger,46.011,-102.643,2758,2018,10,17,2000,9.37,,52.22,,0.133,,1.368,,117.2,,0,,,,,,,
Hettinger,46.011,-102.643,2758,2018,10,17,2100,7.573,,57.41,,0.121,,1.235,,177.7,,0,,,,,,,
Hettinger,46.011,-102.643,2758,2018,10,17,2200,5.845,,65.11,,0.041,,0.634,,33.56,,0,,,,,,,
Hettinger,46.011,-102.643,2758,2018,10,17,2300,5.946,,64.47,,0.051,,0.634,,52.38,,0,,,,,,,
Hettinger,46.011,-102.643,2758,2018,10,17,2400,6.673,,61.31,,0.091,,0.867,,149.6,,0,,,,,,,
Hettinger,46.011,-102.643,2758,2018,10,18,100,6.473,,62.81,,0.018,,0.534,,146.3,,0,,,,,,,
Hettinger,46.011,-102.643,2758,2018,10,18,200,6.515,,62.89,,0.152,,0.834,,356.9,,0,,,,,,,
Hettinger,46.011,-102.643,2758,2018,10,18,300,5.504,,67.72,,0.167,,1.468,,38.73,,0,,,,,,,
Hettinger,46.011,-102.643,2758,2018,10,18,400,4.891,,69.91,,0.068,,0.701,,121.9,,0,,,,,,,
Hettinger,46.011,-102.643,2758,2018,10,18,500,3.789,,76.52,,0.113,,0.601,,75.89,,0,,,,,,,
Hettinger,46.011,-102.643,2758,2018,10,18,600,1.429,,84.2,,0.036,,0.867,,116.9,,0,,,,,,,
Hettinger,46.011,-102.643,2758,2018,10,18,700,0.816,,87.1,,0.03,,0.567,,173.8,,0,,,,,,,
Hettinger,46.011,-102.643,2758,2018,10,18,800,0.877,,88,,0.179,,1.168,,41.27,,0,,,,,,,
Hettinger,46.011,-102.643,2758,2018,10,18,900,5.715,,77.16,,0.523,,2.503,,134.8,,0,,,,,,,
Hettinger,46.011,-102.643,2758,2018,10,18,1000,10.37,,58.86,,1.501,,3.304,,172,,0,,,,,,,
Hettinger,46.011,-102.643,2758,2018,10,18,1100,11.97,,54.41,,2.559,,5.538,,187.9,,0,,,,,,,
Hettinger,46.011,-102.643,2758,2018,10,18,1200,14.51,,47.41,,2.148,,6.172,,179.5,,0,,,,,,,
Hettinger,46.011,-102.643,2758,2018,10,18,1300,16.94,,42.5,,2.801,,5.373,,191.5,,0,,,,,,,
Hettinger,46.011,-102.643,2758,2018,10,18,1400,17.43,,40.83,,2.868,,5.438,,201.3,,0,,,,,,,
Hettinger,46.011,-102.643,2758,2018,10,18,1500,18.42,,37.65,,2.604,,5.639,,233,,0,,,,,,,
Hettinger,46.011,-102.643,2758,2018,10,18,1600,19.29,,34.54,,2.646,,4.737,,260.7,,0,,,,,,,
Hettinger,46.011,-102.643,2758,2018,10,18,1700,19.58,,31.75,,3.364,,6.107,,280.7,,0,,,,,,,
Hettinger,46.011,-102.643,2758,2018,10,18,1800,16.35,,38.13,,1.156,,2.636,,268.5,,0,,,,,,,
Hettinger,46.011,-102.643,2758,2018,10,18,1900,13.17,,45.01,,0.249,,1.135,,5.04,,0,,,,,,,
Hettinger,46.011,-102.643,2758,2018,10,18,2000,10.57,,52.96,,0.512,,1.202,,352.8,,0,,,,,,,
Hettinger,46.011,-102.643,2758,2018,10,18,2100,8.48,,60.9,,0.242,,1.335,,339.9,,0,,,,,,,
Hettinger,46.011,-102.643,2758,2018,10,18,2200,6.752,,68.96,,0.189,,1.135,,333.4,,0,,,,,,,
Hettinger,46.011,-102.643,2758,2018,10,18,2300,5.422,,75.82,,0.05,,0.701,,221.3,,0,,,,,,,
Hettinger,46.011,-102.643,2758,2018,10,18,2400,5.516,,73.58,,0.333,,1.401,,354.8,,0,,,,,,,
