Logger_ID,Date,Time_Stamp,1,2,3,4
R2,10/7/2019,16:01:05.0,23.25,23.5,25.5,28.63
R2,10/7/2019,16:01:06.0,23.25,23.5,25.75,28.31
R2,10/7/2019,16:01:06.1,23.25,23.75,25.75,28.63
R2,10/7/2019,16:01:07.0,23.25,23.75,25.75,28.63
R2,10/7/2019,16:01:07.1,23.25,23.5,25.75,28.63
R2,10/7/2019,16:01:08.0,23.25,23.75,25.75,28.96
R2,10/7/2019,16:01:08.1,23.25,23.5,25.75,28.63
R2,10/7/2019,16:01:09.0,23.25,23.75,25.75,28.96
R2,10/7/2019,16:01:09.1,23.25,23.5,25.75,28.96
R2,10/7/2019,16:01:10.0,23.25,23.75,25.75,28.63
R2,10/7/2019,16:01:10.1,23.25,23.75,25.75,28.96
R2,10/7/2019,16:01:11.0,23.25,23.75,25.75,28.96
R2,10/7/2019,16:01:12.0,23.25,23.75,25.75,28.96
R2,10/7/2019,16:01:12.1,23.25,23.75,25.75,28.96
R2,10/7/2019,16:01:13.0,23.25,23.75,25.75,28.96
R2,10/7/2019,16:01:13.1,23.25,23.75,25.75,28.96
R2,10/7/2019,16:01:14.0,23.25,23.75,25.75,28.63
R2,10/7/2019,16:01:14.1,23.25,23.75,25.5,28.96
R2,10/7/2019,16:01:15.0,23.25,23.75,25.75,28.96
R2,10/7/2019,16:01:15.1,23.25,23.75,25.75,28.63
R2,10/7/2019,16:01:16.0,23.25,23.75,25.5,28.96
R2,10/7/2019,16:01:16.1,23.25,23.75,25.5,28.96
R2,10/7/2019,16:01:17.0,23.25,23.5,25.5,28.63
R2,10/7/2019,16:01:17.1,23.25,23.5,25.5,28.96
R2,10/7/2019,16:01:18.0,23.25,23.5,25.5,28.96
R2,10/7/2019,16:01:19.0,23.25,23.5,25.5,28.96
R2,10/7/2019,16:01:19.1,23.25,23.75,25.5,29.28
R2,10/7/2019,16:01:20.0,23.25,23.75,25.25,29.28
R2,10/7/2019,16:01:20.1,23.25,23.75,25.5,28.96
R2,10/7/2019,16:01:21.0,23.25,23.75,25.5,28.96
R2,10/7/2019,16:01:21.1,23.25,23.75,25.5,29.28
R2,10/7/2019,16:01:22.0,23.25,24,25.5,28.96
R2,10/7/2019,16:01:22.1,23.25,24,25.5,28.96
R2,10/7/2019,16:01:23.0,23.25,24,25.5,29.28
R2,10/7/2019,16:01:23.1,23.25,24,25.75,29.28
R2,10/7/2019,16:01:24.0,23.25,24,25.75,28.96
R2,10/7/2019,16:01:25.0,23.25,24.25,25.75,29.28
R2,10/7/2019,16:01:25.1,23.25,24.25,25.75,29.28
R2,10/7/2019,16:01:26.0,23.25,24,26,28.96
R2,10/7/2019,16:01:26.1,23.25,24,25.75,29.28
R2,10/7/2019,16:01:27.0,23.25,24,25.75,29.28
R2,10/7/2019,16:01:27.1,23.25,24.25,26,29.28
R2,10/7/2019,16:01:28.0,23.5,24.25,26,29.28
R2,10/7/2019,16:01:28.1,23.5,24.25,26,29.28
R2,10/7/2019,16:01:29.0,23.5,24,26,28.96
R2,10/7/2019,16:01:29.1,23.25,24,26,29.28
R2,10/7/2019,16:01:30.0,23.25,24,26,28.96
R2,10/7/2019,16:01:31.0,23.5,24,26,29.28
R2,10/7/2019,16:01:31.1,23.5,24,26,29.28
R2,10/7/2019,16:01:32.0,23.5,24,26,29.28
R2,10/7/2019,16:01:32.1,23.5,23.75,25.75,29.28
R2,10/7/2019,16:01:33.0,23.5,23.75,26,28.96
R2,10/7/2019,16:01:33.1,23.5,23.75,25.75,29.28
R2,10/7/2019,16:01:34.0,23.25,23.75,25.75,29.6
R2,10/7/2019,16:01:34.1,23.25,23.75,25.75,29.28
