Logger_ID,Date,Time_Stamp,1,2,3,4,5,6,7
Y3,10/8/2019,0:58:40.0,23.75,27,13,23,nan,nan,16.06
Y3,10/8/2019,0:58:41.0,23.5,27,12.5,22.75,nan,nan,16.06
Y3,10/8/2019,0:58:42.0,24.25,26.75,12.75,22.75,nan,nan,16.06
Y3,10/8/2019,0:58:42.1,23.5,26.25,13,22,nan,nan,16.06
Y3,10/8/2019,0:58:43.0,23.25,25.75,13.5,22,nan,nan,16.06
Y3,10/8/2019,0:58:44.0,23.5,26,13.75,21.75,nan,nan,16.39
Y3,10/8/2019,0:58:45.0,23.25,26.25,13.25,22.25,nan,nan,15.74
Y3,10/8/2019,0:58:45.1,23.5,25.75,13.75,22.25,nan,nan,16.06
Y3,10/8/2019,0:58:46.0,23.25,26,13.5,22,nan,nan,16.39
Y3,10/8/2019,0:58:47.0,23,25.75,13.75,21.75,nan,nan,16.39
Y3,10/8/2019,0:58:48.0,23,25.5,14,22,nan,nan,16.06
Y3,10/8/2019,0:58:48.1,22.75,25,13.75,22,nan,nan,15.74
Y3,10/8/2019,0:58:49.0,22.75,25,13.5,22,nan,nan,16.39
Y3,10/8/2019,0:58:50.0,22.75,24.75,14,21.75,nan,nan,16.71
Y3,10/8/2019,0:58:51.0,22.75,24.75,13.75,21.75,nan,nan,16.71
Y3,10/8/2019,0:58:51.1,22.5,25,13.75,21.75,nan,nan,16.39
Y3,10/8/2019,0:58:52.0,22.5,25,13.75,21.75,nan,nan,16.39
Y3,10/8/2019,0:58:53.0,22.5,25,13.75,21.75,nan,nan,15.74
Y3,10/8/2019,0:58:53.1,22.75,25,13.75,21.75,nan,nan,16.71
Y3,10/8/2019,0:58:54.0,22.75,24.75,13.5,21.5,nan,nan,16.06
Y3,10/8/2019,0:58:55.0,22.75,24.75,13.75,21.25,nan,nan,16.06
Y3,10/8/2019,0:58:56.0,22.75,24.75,14,21.25,nan,nan,16.39
Y3,10/8/2019,0:58:56.1,22.75,24.75,14,21,nan,nan,16.06
Y3,10/8/2019,0:58:57.0,22.5,25,14,21,nan,nan,16.06
Y3,10/8/2019,0:58:58.0,22.25,25,14,21,nan,nan,16.71
Y3,10/8/2019,0:58:59.0,22.5,25.25,14,21,nan,nan,16.71
Y3,10/8/2019,0:58:59.1,22.75,25.25,14.25,21.25,nan,nan,16.39
Y3,10/8/2019,0:59:00.0,25.5,25.25,14.25,21.25,nan,nan,16.06
Y3,10/8/2019,0:59:01.0,26.25,25,14.25,21,nan,nan,16.39
Y3,10/8/2019,0:59:02.0,25.75,25,14.5,21,nan,nan,16.39
Y3,10/8/2019,0:59:02.1,26,24.75,14.5,20.75,nan,nan,16.71
Y3,10/8/2019,0:59:03.0,26.25,24.75,14.5,20.75,nan,nan,16.06
Y3,10/8/2019,0:59:04.0,26.75,24.75,14.5,20.75,nan,nan,16.39
Y3,10/8/2019,0:59:05.0,26.25,24.75,14.75,20.75,nan,nan,16.71
Y3,10/8/2019,0:59:05.1,25.75,24.5,14.75,20.5,nan,nan,16.39
Y3,10/8/2019,0:59:06.0,25.5,25.5,14.75,20.75,nan,nan,15.74
Y3,10/8/2019,0:59:07.0,25.5,25.5,14.75,20.5,nan,nan,16.06
Y3,10/8/2019,0:59:07.1,25.25,25.25,15,20.5,nan,nan,16.39
Y3,10/8/2019,0:59:08.0,25.25,24.75,15,20.25,nan,nan,15.74
Y3,10/8/2019,0:59:09.0,25,24.5,15.25,20.5,nan,nan,16.71
Y3,10/8/2019,0:59:10.0,24.75,24.25,15.25,20.25,nan,nan,16.71
Y3,10/8/2019,0:59:10.1,24.5,24,15.25,20.5,nan,nan,16.39
Y3,10/8/2019,0:59:11.0,24.5,23.75,15.5,20.5,nan,nan,16.71
Y3,10/8/2019,0:59:12.0,24.5,23.75,15.5,20.5,nan,nan,16.71
Y3,10/8/2019,0:59:13.0,24.5,26.25,15.25,20.25,nan,nan,16.39
Y3,10/8/2019,0:59:13.1,24.25,27.5,15.5,20.25,nan,nan,16.06
Y3,10/8/2019,0:59:14.0,24.25,28.25,15.5,20.25,nan,nan,16.39
Y3,10/8/2019,0:59:15.0,24.25,28.75,15.5,20.5,nan,nan,16.39
Y3,10/8/2019,0:59:16.0,24.25,28.5,15.5,20.5,nan,nan,16.39
Y3,10/8/2019,0:59:16.1,24.25,27.75,15.5,20.5,nan,nan,16.39
Y3,10/8/2019,0:59:17.0,24.25,27.25,15.5,20.25,nan,nan,16.71
Y3,10/8/2019,0:59:18.0,24,26.75,15.75,20.25,nan,nan,16.39
Y3,10/8/2019,0:59:19.0,24,26.5,15.75,20.25,nan,nan,16.71
Y3,10/8/2019,0:59:19.1,23.75,26.25,16,20.25,nan,nan,16.71
Y3,10/8/2019,0:59:20.0,23.75,26,16,20.25,nan,nan,16.71
Y3,10/8/2019,0:59:21.0,23.75,25.75,16,20.25,nan,nan,16.39
Y3,10/8/2019,0:59:21.1,23.75,25.5,16,20.25,nan,nan,16.71
