X,Y
683677.732304395,5094721.18244288
683682.77960173,5094729.81447517
683597.554699952,5094721.09633753
683587.541970762,5094721.03507159
683592.525981841,5094729.72625938
683632.678734338,5094798.94432926
683637.720160901,5094807.52123106
683687.690442745,5094721.19638007
683682.77960173,5094729.81447517
683687.690442745,5094721.19638007
683682.77960173,5094729.81447517
683587.541970762,5094721.03507159
683592.525981841,5094729.72625938
683642.692439704,5094798.9602069
683632.678734338,5094798.94432926
683637.720160901,5094807.52123106
683597.554699952,5094721.09633753
683587.541970762,5094721.03507159
683592.525981841,5094729.72625938
683642.692439704,5094798.9602069
683632.678734338,5094798.94432926
683637.720160901,5094807.52123106
683687.690442745,5094721.19638007
683677.732304395,5094721.18244288
683682.77960173,5094729.81447517
683592.525981841,5094729.72625938
683642.692439704,5094798.9602069
683632.678734338,5094798.94432926
683637.720160901,5094807.52123106
683687.690442745,5094721.19638007
683677.732304395,5094721.18244288
683682.77960173,5094729.81447517
683597.554699952,5094721.09633753
683587.541970762,5094721.03507159
683592.525981841,5094729.72625938
683642.692439704,5094798.9602069
683632.678734338,5094798.94432926
683637.720160901,5094807.52123106
683677.732304395,5094721.18244288
683682.77960173,5094729.81447517
683597.554699952,5094721.09633753
683587.541970762,5094721.03507159
683642.692439704,5094798.9602069
683637.720160901,5094807.52123106
683687.690442745,5094721.19638007
683677.732304395,5094721.18244288
683682.77960173,5094729.81447517
683597.554699952,5094721.09633753
683587.541970762,5094721.03507159
683592.525981841,5094729.72625938
683642.692439704,5094798.9602069
683632.678734338,5094798.94432926
683637.720160901,5094807.52123106
683677.732304395,5094721.18244288
683682.77960173,5094729.81447517
683597.554699952,5094721.09633753
683587.541970762,5094721.03507159
683592.525981841,5094729.72625938
683632.678734338,5094798.94432926
683637.720160901,5094807.52123106
683687.690442745,5094721.19638007
683677.732304395,5094721.18244288
683682.77960173,5094729.81447517
683597.554699952,5094721.09633753
683587.541970762,5094721.03507159
683592.525981841,5094729.72625938
683642.692439704,5094798.9602069
683637.720160901,5094807.52123106
683687.690442745,5094721.19638007
683677.732304395,5094721.18244288
683597.554699952,5094721.09633753
683592.525981841,5094729.72625938
683642.692439704,5094798.9602069
683632.678734338,5094798.94432926
683637.720160901,5094807.52123106
683687.690442745,5094721.19638007
683677.732304395,5094721.18244288
683682.77960173,5094729.81447517
683597.554699952,5094721.09633753
683592.525981841,5094729.72625938
683632.678734338,5094798.94432926
683637.720160901,5094807.52123106
683597.554699952,5094721.09633753
683587.541970762,5094721.03507159
683687.690442745,5094721.19638007
683677.732304395,5094721.18244288
683597.554699952,5094721.09633753
683587.541970762,5094721.03507159
683592.525981841,5094729.72625938
683642.692439704,5094798.9602069
683632.678734338,5094798.94432926
683687.690442745,5094721.19638007
683677.732304395,5094721.18244288
683682.77960173,5094729.81447517
683597.554699952,5094721.09633753
683587.541970762,5094721.03507159
683592.525981841,5094729.72625938
683642.692439704,5094798.9602069
683632.678734338,5094798.94432926
683637.720160901,5094807.52123106
683687.690442745,5094721.19638007
683677.732304395,5094721.18244288
683682.77960173,5094729.81447517
683597.554699952,5094721.09633753
683592.525981841,5094729.72625938
683642.692439704,5094798.9602069
683637.720160901,5094807.52123106
683687.690442745,5094721.19638007
683677.732304395,5094721.18244288
683682.77960173,5094729.81447517
683597.554699952,5094721.09633753
683592.525981841,5094729.72625938
683642.692439704,5094798.9602069
683637.720160901,5094807.52123106
683687.690442745,5094721.19638007
683597.554699952,5094721.09633753
683587.541970762,5094721.03507159
683592.525981841,5094729.72625938
683632.678734338,5094798.94432926
683637.720160901,5094807.52123106
683677.732304395,5094721.18244288
683682.77960173,5094729.81447517
683597.554699952,5094721.09633753
683587.541970762,5094721.03507159
683592.525981841,5094729.72625938
683642.692439704,5094798.9602069
683632.678734338,5094798.94432926
683687.690442745,5094721.19638007
683677.732304395,5094721.18244288
683682.77960173,5094729.81447517
683632.678734338,5094798.94432926
683637.720160901,5094807.52123106
683687.690442745,5094721.19638007
683677.732304395,5094721.18244288
683597.554699952,5094721.09633753
683587.541970762,5094721.03507159
683592.525981841,5094729.72625938
683687.690442745,5094721.19638007
683677.732304395,5094721.18244288
683682.77960173,5094729.81447517
683597.554699952,5094721.09633753
683587.541970762,5094721.03507159
683637.720160901,5094807.52123106
